start_note	end_note	name	melodic_structure	lyric_structure	lyrics	slug
2	47	1. HANE	AB1	INSTRUMENTAL		1-HANE
48	96	TESLİM	AB2	INSTRUMENTAL		TESLIM
97	145	TESLİM	AB2	INSTRUMENTAL		TESLIM
146	191	2. HANE	B1	INSTRUMENTAL		2-HANE
192	240	TESLİM	AB2	INSTRUMENTAL		TESLIM
241	289	TESLİM	AB2	INSTRUMENTAL		TESLIM
290	331	3. HANE	AB3	INSTRUMENTAL		3-HANE
332	380	TESLİM	AB2	INSTRUMENTAL		TESLIM
381	430	TESLİM	AB2	INSTRUMENTAL		TESLIM
431	550	4. HANE	A1	INSTRUMENTAL		4-HANE
551	599	TESLİM	AB2	INSTRUMENTAL		TESLIM
600	648	TESLİM	AB2	INSTRUMENTAL		TESLIM
