start_note	end_note	name	melodic_structure	lyric_structure	lyrics	slug
2	49	1. HANE	AB1	INSTRUMENTAL		1-HANE
50	99	TESLİM	A1	INSTRUMENTAL		TESLIM
100	149	TESLİM	A1	INSTRUMENTAL		TESLIM
150	197	2. HANE	A2	INSTRUMENTAL		2-HANE
198	247	TESLİM	A1	INSTRUMENTAL		TESLIM
248	297	TESLİM	A1	INSTRUMENTAL		TESLIM
298	354	3. HANE	A3	INSTRUMENTAL		3-HANE
355	404	TESLİM	A1	INSTRUMENTAL		TESLIM
405	455	TESLİM	A1	INSTRUMENTAL		TESLIM
456	621	4. HANE	B1	INSTRUMENTAL		4-HANE
622	671	TESLİM	A1	INSTRUMENTAL		TESLIM
672	721	TESLİM	A1	INSTRUMENTAL		TESLIM
