start_note	end_note	name	melodic_structure	lyric_structure	lyrics	slug
2	72	ARANAĞME	A1	INSTRUMENTAL		ARANAGME
73	143	ARANAĞME	A1	INSTRUMENTAL		ARANAGME
144	179	VOCAL_SECTION	AB1	B1	Koklasam saçlarını bu gece tâ fecre kadar  	VOCAL_SECTION
180	213	VOCAL_SECTION	A2	B1	Koklasam saçlarını bu gece tâ fecre kadar  	VOCAL_SECTION
214	257	VOCAL_SECTION	CD1	C1	Acı duysam gözünün rengine dalsam da senin  	VOCAL_SECTION
258	301	VOCAL_SECTION	BD1	C1	Acı duysam gözünün rengine dalsam da senin  	VOCAL_SECTION
302	341	VOCAL_SECTION	E1	D1	Kanatır ruhumu mâzîde kalan hatıralar  	VOCAL_SECTION
342	387	VOCAL_SECTION	E2	D1	Kanatır ruhumu mâzîde kalan hatıralar  	VOCAL_SECTION
388	431	VOCAL_SECTION	C1	C2	Doyamam ömrüme ben kalbini çalsam da senin  	VOCAL_SECTION
432	470	VOCAL_SECTION	B1	C2	Doyamam ömrüme ben kalbini çalsam da senin  	VOCAL_SECTION
