start_note	end_note	name	melodic_structure	lyric_structure	lyrics	slug
2	55	1. HANE	A1	INSTRUMENTAL		1-HANE
56	117	TESLİM	A2	INSTRUMENTAL		TESLIM
118	179	TESLİM	A2	INSTRUMENTAL		TESLIM
180	234	2. HANE	A3	INSTRUMENTAL		2-HANE
235	296	TESLİM	A2	INSTRUMENTAL		TESLIM
297	358	TESLİM	A2	INSTRUMENTAL		TESLIM
359	408	3. HANE	A4	INSTRUMENTAL		3-HANE
409	470	TESLİM	A2	INSTRUMENTAL		TESLIM
471	533	TESLİM	A2	INSTRUMENTAL		TESLIM
534	683	4. HANE	A5	INSTRUMENTAL		4-HANE
684	745	TESLİM	A2	INSTRUMENTAL		TESLIM
746	807	TESLİM	A2	INSTRUMENTAL		TESLIM
